"File","Lines"
"crm\src\index.css","8059"
"agent\orchestrator.py","3618"
"crm\src\views\ClientDetailView.tsx","3451"
"db\clients.py","3203"
"tests\test_widget_install.py","2908"
"agent\ingestion.py","2274"
"tests\test_orchestrator_matching.py","1660"
"agent\adapter_discovery.py","1465"
"agent\flow_discovery.py","1342"
"api\crm.py","1330"
"crm\src\views\client-workspace\AdapterTab.tsx","1210"
"agent\client_initialization.py","1076"
"api\routes\clients.py","1014"
"tests\test_robustness_roadmap.py","920"
"agent\guardrails.py","917"
"api\main.py","899"
"agent\scanner.py","855"
"crm\src\views\DashboardView.tsx","834"
"tests\test_vertical_runtime.py","812"
"crm\src\views\ClientsView.tsx","800"
"plugin\mayabot.js","798"
"README.md","798"
"agent\prompt.py","793"
"agent\adapter_repair.py","745"
"crm\src\App.tsx","742"
"agent\capabilities.py","726"
"db\analytics_math.py","650"
"crm\src\types.ts","636"
"db\database.py","619"
"crm\src\views\AnalyticsView.tsx","581"
"agent\verticals\discovery_profiles.py","573"
"api\routes\ecommerce.py","560"
"tests\test_ingestion.py","539"
"plugin\src\entityOverlay.js","535"
"agent\retrieval\generic_rag.py","534"
"tests\test_guardrails.py","527"
"agent\flow_rehearsal.py","519"
"agent\flow_planner.py","502"
"tests\test_verticals.py","495"
"agent\rag.py","481"
"aihub.md","468"
"crm\src\views\SettingsView.tsx","464"
"db\prompts.py","453"
"plugin\src\productOverlay.js","450"
"agent\product_matching.py","443"
"crm\src\views\client-workspace\OperatorCenter.tsx","420"
"tests\test_crm_token_limits.py","418"
"db\knowledge.py","392"
"tests\test_api_contract.py","386"
"plugin\src\index.js","380"
"agent\product_response.py","372"
"crm\src\views\ConversationsView.tsx","371"
"crm\src\views\client-workspace\OperationFeedback.tsx","361"
"crm\src\views\client-workspace\PromptTab.tsx","344"
"tests\test_flow_discovery.py","343"
"plugin\src\api.js","339"
"api\ws_shop.py","329"
"tests\test_provider_usage.py","329"
"plugin\src\handoffOverlay.js","328"
"plugin\src\adapter\validation.js","328"
"api\client_panel.py","321"
"plugin\src\adapter\runtime.js","319"
"db\answer_cache.py","313"
"agent\adapters\woocommerce.py","312"
"crm\src\views\UsageView.tsx","312"
"plugin\src\productResolver.js","308"
"tests\test_browser_runtime_action_execution.py","303"
"agent\barrier_policy.py","298"
"db\schema.py","285"
"plugin\src\adapter\domActions.js","283"
"agent\interaction_learning.py","279"
"agent\relevance.py","279"
"crm\src\components\shared\Dialogs.tsx","277"
"crm\src\api.ts","277"
"tests\test_complex_provider_layouts.py","276"
"tests\test_knowledge.py","273"
"agent\provider_status.py","266"
"agent\prompts\generic.py","265"
"tests\test_flow_regression.py","265"
"tests\test_sales_relevance_cache.py","262"
"plugin\src\styles.js","262"
"agent\llm.py","261"
"plugin\src\adapter\domSequence.js","260"
"plugin\src\adapter\discovery.js","258"
"agent\flow_regression.py","254"
"crm\src\components\shared\Sidebar.tsx","254"
"db\settings_manager.py","249"
"api\models.py","236"
"crm\src\views\AdaptersView.tsx","234"
"agent\page_context.py","229"
"db\admin.py","227"
"db\seed.py","227"
"plugin\src\adapter\formFiller.js","225"
"db\schema.sql","204"
"agent\extractor.py","203"
